"","Province_State","Country_Region","Date","Confirmed","Deaths","Recovered"
"783","WV","US",2020-03-16,0,0,0
"784","NY","US",2020-03-17,1706,13,0
"785","WA","US",2020-03-17,1076,55,1
"786","CA","US",2020-03-17,698,12,6
"787","NJ","US",2020-03-17,267,3,1
"788","MA","US",2020-03-17,218,0,1
"789","FL","US",2020-03-17,216,6,0
"790","LA","US",2020-03-17,196,4,0
"791","IL","US",2020-03-17,161,1,2
"792","CO","US",2020-03-17,160,2,0
"793","GA","US",2020-03-17,146,1,0
"794","PA","US",2020-03-17,112,0,0
"795","TX","US",2020-03-17,110,1,0
"796","TN","US",2020-03-17,74,0,0
"797","WI","US",2020-03-17,72,0,1
"798","CT","US",2020-03-17,68,0,0
"799","OH","US",2020-03-17,67,0,0
"800","VA","US",2020-03-17,67,2,0
"801","OR","US",2020-03-17,66,1,0
"802","MI","US",2020-03-17,65,0,0
"803","NC","US",2020-03-17,64,0,0
"804","MD","US",2020-03-17,60,0,3
"805","MN","US",2020-03-17,60,0,0
"806","NV","US",2020-03-17,56,1,0
"807","UT","US",2020-03-17,51,0,0
"808","SC","US",2020-03-17,47,1,0
"809","AL","US",2020-03-17,39,0,0
"810","ME","US",2020-03-17,32,0,0
"811","IN","US",2020-03-17,30,2,0
"812","KY","US",2020-03-17,26,1,1
"813","NH","US",2020-03-17,26,0,0
"814","IA","US",2020-03-17,23,0,0
"815","NM","US",2020-03-17,23,0,0
"816","RI","US",2020-03-17,23,0,0
"817","AR","US",2020-03-17,22,0,0
"818","DC","US",2020-03-17,22,0,0
"819","MS","US",2020-03-17,21,0,0
"820","NE","US",2020-03-17,21,0,0
"821","AZ","US",2020-03-17,20,0,1
"822","OK","US",2020-03-17,19,0,0
"823","KS","US",2020-03-17,18,1,0
"824","DE","US",2020-03-17,16,0,0
"825","VT","US",2020-03-17,12,0,0
"826","MO","US",2020-03-17,11,0,0
"827","SD","US",2020-03-17,11,1,0
"828","WY","US",2020-03-17,11,0,0
